,,,,,,,BUS Connected Write Enable Flags,,,,,,,,,,,,RAM Connected WE Flags,,Status and Conditional Jump Related,,,,,,
OP,opcode,Comment,W-Selector (4 bits),ALU Op (4 bits),PC INC,IR Clr,ACC WE,B WE,C WE,TMP WE,MAR WE,PC WE,MDR-TM WE,IR WE SEL,OUT 3 WE,OUT 4 WE,PC LOW WE,PC HIGH WE,MDR-FM WE,RAM WE,UPDATE STATUS FLAGS,CHK_M_ABORT_IF_NOT_M,CHZ_Z_ABORT_IF_NOT_Z,CHZ_NOT_Z_ABORT_IF_Z,WAIT,SP INC,SP DEC
FETCH,,MAR <- PC,0001,0000,0,1,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
FETCH,,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
FETCH,,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
FETCH,,IR <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0
FETCH,,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD B,80,TMP <- B,0110,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD B,80,OP=ADD,0000,0001,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ADD B,80,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD B,80,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD C,81,TMP <- C,0111,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD C,81,OP=ADD,0000,0001,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ADD C,81,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD C,81,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA B,A0,TMP <- B; OP=ANA,0110,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA B,A0,OP=ANA,0000,0101,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ANA B,A0,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA B,A0,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA C,A1,TMP <- C,0111,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA C,A1,OP=ANA,0000,0101,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ANA C,A1,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA C,A1,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI byte,E6,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI byte,E6,INC PC; MDR-FM WE,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
ANI byte,E6,TMP <- MDR-FM; OP=AND,0100,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI Byte,E6,OP=AND,0000,0101,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ANI byte,E6,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI byte,E6,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
CALL,CD,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
CALL,CD,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
CALL,CD,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
CALL,CD,OperandHigh <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,MAR <- SP,1101,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,DEC SP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,1
CALL,CD,MDR-TM <- PC HIGH,1100,0000,0,0,0,0,0,0,0,0,1,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,RAM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,1,0,0,0,0,0,0,0
CALL,CD,MAP <- SP,1101,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,DEC SP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,1
CALL,CD,MDR-TM <- PC LOW,1011,0000,0,0,0,0,0,0,0,0,1,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,RAM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,1,0,0,0,0,0,0,0
CALL,CD,PC <- OperandFull,0010,0000,0,0,0,0,0,0,0,1,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL,CD,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CMA,2F,TMP <- ACC,0101,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CMA,2F,OP = CMA,0000,1000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
CMA,2F,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
CMA,2F,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR A,3D,TMP <- ACC,0101,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR A,3D,OP=DEC,0000,0100,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
DCR A,3D,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR A,3D,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR B,05,TMP <- B,0110,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR B,05,OP=DEC,0000,0100,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
DCR B,05,B <- ALU,0011,0000,0,0,0,1,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR B,05,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR C,0D,TMP <- C,0111,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR C,0D,OP=DEC,0000,0100,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
DCR C,0D,C <- ALU,0011,0000,0,0,0,0,1,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR C,0D,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT,76,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
IN byte,DB,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
IN byte,DB,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
IN byte,DB,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
IN byte,DB,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
IN byte,DB,WAIT,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,1,0,0
IN byte,DB,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR A,3C,TMP <- ACC,0101,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR A,3C,OP=INC,0000,0011,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
INR A,3C,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR A,3C,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR B,04,TMP <- B,0110,0011,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR B,04,OP=INC,0000,0011,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
INR B,04,B <- ALU,0011,0000,0,0,0,1,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR B,04,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR C,0C,TMP <- C,0111,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR C,0C,OP=INC,0000,0011,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
INR C,0C,C <- TMP,0011,0000,0,0,0,0,1,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
INR C,0C,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JM address,FA,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JM address,FA,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JM address,FA,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JM address,FA,OperandHigh <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,NEXT iF NOT M,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,1,0,0,0,0,0
JM address,FA,PC <- OperandFull,0010,0000,0,0,0,0,0,0,0,1,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JM address,FA,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JMP address,C3,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JMP address,C3,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JMP address,C3,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JMP address,C3,OperandHigh <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,PC <- OperandFull,0010,0000,0,0,0,0,0,0,0,1,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP address,C3,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JNZ address,C2,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JNZ address,C2,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JNZ address,C2,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JNZ address,C2,OperandHigh <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,Abort if Z,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,1,0,0,0
JNZ address,C2,PC <- OperandFull,0010,0000,0,0,0,0,0,0,0,1,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JNZ address,C2,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JZ address,CA,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
JZ address,CA,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JZ address,CA,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
JZ address,CA,OperandLow <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
JZ address,CA,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
